project,train_or_phase,first_lng_year,nameplate_mtpa,japan_buyer_share_pct,japan_contracted_mtpa,contract_term_years,verification_status,source_notes
North West Shelf,Trains 1-2,1989,5.0,100,5.0,20,verified,"Combined Trains 1+2 capacity 5 Mtpa, fully contracted to original 8-utility Japanese consortium (TEPCO, Tokyo Gas, Chubu, Kansai, Osaka Gas, Kyushu, Toho, Nippon Steel) under 1985 SPAs. First cargo departed Karratha 28 Jul 1989 to Sodegaura. 20-year SPA term per Lexology. Sources: Wood Mackenzie NWS profile; Lexology 50-yr LNG history."
North West Shelf,Train 3,1992,2.5,100,2.5,20,verified,"Train 3 capacity 2.5 Mtpa, brought NWS total to ~7.5 Mtpa (after debottlenecking). Japanese consortium take rose to 7.33 Mtpa. Source: Lexology 50-yr LNG history; Offshore Technology."
North West Shelf,Train 4,2004,4.4,25,1.1,15-20,approximate,"Train 4 added 4.4 Mtpa. Majority of new volumes contracted to CNOOC Guangdong (3.3 Mtpa, 25-yr from 2006) and other Asian buyers; only a minority to Japan as legacy 1985 SPAs began expiring. Japan share estimated ~25%."
North West Shelf,Train 5,2008,4.4,30,1.3,15-20,approximate,"Train 5 added 4.4 Mtpa, bringing total to ~16.3 Mtpa. Diversified Asian customer base. By 2022 Japan accounted for ~42% of all NWS exports (S&P Global); absolute Train-5 attribution is approximate."
Darwin LNG,Phase 1,2006,3.7,81,3.0,17,verified,"Plant nameplate ~3.7 Mtpa; firm 17-yr SPAs total 3.0 Mtpa to TEPCO + Tokyo Gas. Source: Oil & Gas Journal 2006-02 ('Tokyo Electric and Tokyo Gas will together buy 3 million tonnes/year over 17 years')."
Pluto LNG,Train 1,2012,4.3,87,3.75,15,verified,"Original FID nameplate 4.3 Mtpa (later debottlenecked to ~4.9 Mtpa). 15-yr foundation SPAs with Kansai Electric and Tokyo Gas total up to 3.75 Mtpa, with the two utilities also each holding 5% project equity. Source: Woodside / Offshore Technology."
Queensland Curtis LNG,Trains 1-2,2014,8.5,14,1.2,20,verified,"Plant nameplate 8.5 Mtpa (2x4.25). Tokyo Gas 20-yr SPA: 1.2 Mtpa from 2015 (signed Mar 2010). Tokyo Gas also holds 2.5% equity in Train 2. CNOOC took 3.6 Mtpa for 20 yrs. Source: Offshore Technology / Rigzone."
Gladstone LNG,Trains 1-2,2015,7.8,0,0.0,20,verified,"All foundation SPAs to KOGAS (3.5 Mtpa) and PETRONAS (3.5 Mtpa); JV partners Santos, PETRONAS, Total, KOGAS - no Japanese equity or named SPA. Source: Santos / Offshore Energy."
Australia Pacific LNG,Trains 1-2,2016,9.0,11,1.0,20,verified,"First cargo January 2016 (NOT 2015). Foundation SPAs: 7.6 Mtpa to Sinopec and 1.0 Mtpa to Kansai Electric, both 20-yr. Source: ConocoPhillips / Maritime Executive."
Gorgon LNG,Trains 1-3,2016,15.6,29,4.5,15-25,verified,"3 trains x 5.2 Mtpa, first cargo March 2016. Named Japanese SPAs: Nippon Oil 0.3 Mtpa (15-yr), Tokyo Gas 1.1 Mtpa (25-yr, 1% equity), Chubu/JERA 1.44 Mtpa (25-yr, 0.417% equity), Kyushu Electric 0.3 Mtpa (15-yr), Osaka Gas 1.375 Mtpa (25-yr, 1.25% equity) = 4.515 Mtpa total. Source: Chevron Gorgon SPA releases (compiled in Wikipedia Gorgon project article)."
Wheatstone LNG,Trains 1-2,2017,8.9,68,6.1,15-20,verified,"Plant nameplate 8.9 Mtpa, first cargo Oct 31 2017 to JERA. Japanese SPAs: JERA ~4.5 Mtpa (4.1+0.4 with Tokyo Electric & Chubu/JERA), Kyushu Electric 0.7 Mtpa, Tohoku Electric 0.9 Mtpa = ~6.1 Mtpa. Plus equity offtake from Kyushu 1.46% + PE Wheatstone/JERA 8%. Source: Chevron Wheatstone SPA releases; JERA Wheatstone investment page."
Ichthys LNG,Trains 1-2,2018,8.9,70,6.2,15-20,verified,"INPEX-operated; first cargo 22 Oct 2018. Named Japanese SPAs total 4.77 Mtpa: TEPCO 1.05 + Tokyo Gas 1.05 + Kansai 0.8 + Osaka 0.8 + Kyushu 0.3 + Chubu 0.49 + Toho 0.28. Plus INPEX (Japanese) equity offtake portfolio. Industry consensus: ~70% of plant output to Japanese utilities (~6.23 Mtpa). Source: NS Energy Business / Offshore Energy."
Prelude FLNG,Floating,2019,3.6,18,0.6,15,approximate,"Shell-operated FLNG, first cargo June 2019. Equity: Shell 67.5%, INPEX 17.5%, KOGAS 10%, CPC/OPIC 5%. Japanese contracted volume estimated from INPEX 17.5% equity offtake (~0.63 Mtpa). Buyer-specific SPAs not public. Source: INPEX / Offshore Energy."
