year,quarter,petroleum_exp_aud_million
1974,3,25.6
1974,4,22.8
1975,1,17.2
1975,2,16.6
1975,3,14.0
1975,4,16.2
1976,1,11.8
1976,2,12.3
1976,3,15.1
1976,4,15.1
1977,1,17.5
1977,2,19.9
1977,3,22.5
1977,4,27.7
1978,1,25.6
1978,2,27.3
1978,3,29.5
1978,4,36.4
1979,1,41.6
1979,2,55.8
1979,3,59.7
1979,4,71.2
1980,1,62.5
1980,2,101.4
1980,3,98.8
1980,4,98.3
1981,1,70.0
1981,2,101.2
1981,3,120.2
1981,4,210.0
1982,1,211.3
1982,2,261.1
1982,3,262.6
1982,4,275.8
1983,1,186.3
1983,2,202.7
1983,3,216.6
1983,4,220.4
1984,1,150.4
1984,2,236.3
1984,3,207.6
1984,4,189.0
1985,1,152.6
1985,2,244.0
1985,3,238.4
1985,4,185.1
1986,1,202.1
1986,2,140.3
1986,3,79.3
1986,4,76.4
1987,1,55.0
1987,2,94.5
1987,3,106.6
1987,4,149.1
1988,1,98.1
1988,2,141.3
1988,3,151.8
1988,4,196.6
1989,1,135.0
1989,2,153.0
1989,3,133.9
1989,4,146.5
1990,1,168.3
1990,2,133.9
1990,3,168.5
1990,4,147.3
1991,1,128.6
1991,2,138.2
1991,3,100.9
1991,4,173.3
1992,1,97.2
1992,2,102.5
1992,3,140.2
1992,4,186.6
1993,1,130.4
1993,2,154.7
1993,3,138.5
1993,4,131.2
1994,1,112.7
1994,2,124.2
1994,3,180.5
1994,4,177.4
1995,1,119.4
1995,2,195.4
1995,3,193.1
1995,4,191.6
1996,1,139.0
1996,2,164.9
1996,3,202.8
1996,4,241.2
1997,1,162.2
1997,2,202.4
1997,3,124.2
1997,4,215.7
1998,1,256.0
1998,2,322.3
1998,3,185.7
1998,4,248.8
1999,1,226.4
1999,2,190.8
1999,3,197.2
1999,4,179.2
2000,1,160.0
2000,2,164.3
2000,3,218.3
2000,4,241.7
2001,1,298.8
2001,2,266.0
2001,3,231.7
2001,4,267.4
2002,1,203.0
2002,2,180.5
2002,3,218.0
2002,4,270.4
2003,1,266.5
2003,2,240.1
2003,3,230.7
2003,4,288.1
2004,1,168.8
2004,2,256.4
2004,3,210.5
2004,4,286.6
2005,1,269.2
2005,2,278.5
2005,3,282.0
2005,4,326.5
2006,1,273.6
2006,2,379.9
2006,3,488.6
2006,4,544.5
2007,1,460.3
2007,2,732.1
2007,3,698.3
2007,4,770.0
2008,1,709.4
2008,2,857.2
2008,3,781.3
2008,4,1013.4
2009,1,998.6
2009,2,1017.4
2009,3,797.7
2009,4,827.0
2010,1,863.5
2010,2,1005.9
2010,3,850.4
2010,4,849.6
2011,1,766.1
2011,2,849.3
2011,3,780.2
2011,4,897.0
2012,1,596.0
2012,2,923.8
2012,3,1084.0
2012,4,1398.6
2013,1,1009.7
2013,2,1301.1
2013,3,1115.3
2013,4,1103.3
2014,1,1072.1
2014,2,1533.8
2014,3,979.9
2014,4,1153.1
2015,1,960.6
2015,2,697.8
2015,3,582.9
2015,4,482.0
2016,1,427.9
2016,2,283.4
2016,3,355.2
2016,4,335.2
2017,1,350.0
2017,2,335.6
2017,3,283.5
2017,4,245.1
2018,1,183.3
2018,2,316.1
2018,3,307.9
2018,4,352.4
2019,1,222.5
2019,2,377.7
2019,3,370.3
2019,4,414.2
2020,1,241.4
2020,2,236.9
2020,3,224.0
2020,4,292.4
2021,1,202.6
2021,2,280.6
2021,3,296.3
2021,4,351.6
2022,1,255.0
2022,2,245.1
2022,3,226.1
2022,4,244.6
2023,1,206.8
2023,2,231.4
2023,3,328.8
2023,4,293.9
2024,1,336.9
2024,2,306.0
2024,3,314.6
2024,4,458.3
2025,1,298.3
2025,2,294.5
2025,3,455.4
2025,4,559.4
