year,reporter_iso,value_usd,net_weight_kg
1992,CHN,631.0,976.0
1993,CHN,2846.0,3000.0
1994,CHN,490410.0,2189312.0
1995,CHN,618931.0,1996562.0
1996,CHN,15727014.0,70943526.0
1997,CHN,42273363.0,163742639.0
1998,CHN,16302958.0,81172976.0
1999,CHN,72638798.0,338618030.0
2000,CHN,67075130.0,215701396.0
2001,CHN,74063052.0,265576448.0
2002,CHN,87061240.0,372335824.0
2003,CHN,127503848.0,425586096.0
2004,CHN,273440646.0,666164360.0
2005,CHN,439981240.0,963131640.0
2006,CHN,659826118.0,1671107168.0
2007,CHN,976200174.0,3381208324.0
2008,CHN,521514778.0,2827617465.0
2009,CHN,774663082.0,3849250972.0
2010,CHN,954089543.0,4210458708.0
2011,CHN,761892051.0,3762617402.0
2012,CHN,871698312.0,3827749890.0
2013,CHN,871683216.0,3805725140.0
2014,CHN,793755104.0,3897497566.0
2015,CHN,1743168577.0,5762493700.0
2016,CHN,3901629703.0,12167263538.11
2017,CHN,6379463087.0,17612860413.0
2018,CHN,11572738371.0,24029800040.0
2019,CHN,13647702332.0,28831505098.0
2020,CHN,10787409466.0,29974263740.0
2021,CHN,17157423666.0,32378079700.0
2022,CHN,16433601997.0,22391227000.0
2023,CHN,15146073519.0,24161240386.408
2024,CHN,15375611405.0,26807414617.0
1990,KOR,8835119.0,65704000.0
1991,KOR,1482.0,7935.0
1992,KOR,2427180.0,8065000.0
1993,KOR,12195801.0,73754000.0
1994,KOR,766603.0,4903000.0
1995,KOR,24353496.0,146362064.0
1996,KOR,13671518.0,67912096.0
1997,KOR,5895386.0,30743288.0
1998,KOR,9036243.0,48266924.0
1999,KOR,12329641.0,67360171.0
2000,KOR,48029924.0,187681232.0
2001,KOR,79073125.0,275382181.0
2002,KOR,143035487.0,576048474.0
2003,KOR,69980179.0,258888120.0
2004,KOR,135082954.0,432395597.0
2005,KOR,357147010.0,948184763.0
2006,KOR,262709746.0,808660161.0
2007,KOR,269889867.0,635021924.0
2008,KOR,642901671.0,963192277.0
2009,KOR,718804659.0,1732642236.0
2010,KOR,769953445.0,1466782670.0
2011,KOR,795055265.0,1175532234.0
2012,KOR,800665909.0,1027890603.0
2013,KOR,775498663.0,983466002.0
2014,KOR,1064182319.0,1416749369.076
2015,KOR,995796846.0,2016787854.0
2016,KOR,1846384269.0,4862250817.0
2017,KOR,2993803901.0,7158609720.86
2018,KOR,4299143084.0,7950142859.0
2019,KOR,3752752455.0,7808606200.0
2020,KOR,3046131308.0,8018526279.85
2021,KOR,5783180210.0,9496680858.0
2022,KOR,15331452122.0,11998979654.0
2023,KOR,8994120593.0,10559253450.0
2024,KOR,7220242291.0,11500016181.0
1991,MYS,771.0,296.0
1992,MYS,559.0,40.0
1993,MYS,801784.0,4004000.0
1999,MYS,1284.0,6687.0
2001,MYS,240.0,816.0
2002,MYS,2905.0,4.0
2003,MYS,77925.0,265.0
2004,MYS,16878.0,25530.0
2005,MYS,424.0,500.0
2006,MYS,8730.0,8520.0
2007,MYS,83189.0,89214.0
2008,MYS,2337.0,4820.0
2009,MYS,250933.0,416235.0
2010,MYS,4669.0,2511.0
2011,MYS,37116.0,32900.0
2013,MYS,120.0,135.0
2014,MYS,51743270.0,63395468.0
2015,MYS,172401709.0,308666268.0
2016,MYS,117789172.0,304317153.0
2017,MYS,251421574.209,559304481.0
2018,MYS,476783316.795,820833614.0
2019,MYS,866168838.823,1544447000.0
2020,MYS,859458632.037,1795684680.0
2021,MYS,294955796.448,703903500.0
2022,MYS,1572043529.922,2101076630.0
2023,MYS,1387987566.25,1968239600.0
2024,MYS,1823471821.61,2604305935.0
1991,SGP,1242.0,49.0
1993,SGP,1076136.0,9370691.0
1994,SGP,166696.0,1894937.0
1995,SGP,9423.0,10257.0
1996,SGP,24213.0,3026.0
1997,SGP,8207.0,738.0
1999,SGP,22843.0,6417.0
2000,SGP,9645.0,1400.0
2001,SGP,5457.0,920.0
2002,SGP,8076.0,2070.0
2003,SGP,8580.0,480.0
2004,SGP,7693.0,20096.0
2005,SGP,38603.0,7541.0
2006,SGP,2812.0,2861.0
2007,SGP,1830.0,20010.0
2008,SGP,3687.0,581.0
2009,SGP,4449.0,149.0
2010,SGP,1951.583,10654.0
2011,SGP,2092.028,2311.7
2012,SGP,28846.043,107.0
2013,SGP,269.316,37.5
2014,SGP,2495.458,36.7
2015,SGP,270270475.147,577709290.0
2016,SGP,428129830.598,1255220230.0
2017,SGP,624498199.296,1513500070.0
2018,SGP,1108834605.55,2017383550.0
2019,SGP,827992255.59,1770044453.069
2020,SGP,674554871.143,2429639438.215
2021,SGP,1335448258.397,2214520725.313
2022,SGP,2080808482.743,2479982920.0
2023,SGP,1699228200.287,2627711010.0
2024,SGP,1210342191.797,2673060000.0
1989,THA,1262.0,10.0
1990,THA,2061520.0,8820871.0
1993,THA,507.0,9.0
1994,THA,8202.0,1125.0
1999,THA,1241.0,10.0
2000,THA,814.0,80.0
2001,THA,5258.0,42.0
2006,THA,51494.0,15936.0
2007,THA,30022.0,23456.0
2008,THA,44495748.0,40117082.0
2009,THA,32277965.0,43388704.0
2010,THA,92391088.0,105252972.0
2011,THA,159549813.0,173904910.0
2012,THA,24904225.0,24131311.0
2013,THA,36228704.0,44421436.0
2014,THA,38581989.0,44438496.0
2015,THA,75843895.93,199179360.0
2016,THA,65975.35,45020.0
2017,THA,190509495.88,496495620.0
2018,THA,33191097.96,65518460.0
2019,THA,429631346.484,877290600.0
2020,THA,352244257.957,878003372.0
2021,THA,1028269840.541,819936300.0
2022,THA,1982677178.18,1390483100.0
2023,THA,2223459209.382,2779973200.0
2024,THA,1144112190.03,1989887000.0
2004,VNM,3137.0,
2007,VNM,1355590.0,2464709.0
2008,VNM,17080485.0,21420474.0
2009,VNM,1044.0,
2010,VNM,43806650.0,67451186.0
2011,VNM,66941700.0,74891484.0
2014,VNM,9158422.0,9968350.0
2015,VNM,7402722.0,13608883.0
2016,VNM,774454.33,2305638.0
2017,VNM,24539321.6,44072300.0
2018,VNM,57365025.64,
2019,VNM,21183462.14,48507210.0
2020,VNM,37884801.82,81706340.0
2021,VNM,32753189.39,47247400.0
2022,VNM,231605.483,304760.0
